y,wl,ra6,ra12
881,1126.93,1135.135,1138.16
882,1125.73,1132.69166666667,1136.81
883,1126.67,1130.45166666667,1135.43
884,1125.86,1128.31166666667,1134.07
885,1127.43,1127.05333333333,1132.925
886,1130.13,1127.13,1132.14583333333
887,1130.01,1127.64,1131.38666666667
888,1137.4,1129.58,1131.1375
889,1143.25,1132.34666666667,1131.39916666667
890,1147.66,1135.98,1132.14583333333
891,1144.45,1138.81666666667,1132.935
892,1141.89,1140.77666666667,1133.95
893,1140.46,1142.51833333333,1135.08
894,1139.01,1142.79,1136.19
895,1139.61,1142.18,1137.26333333333
896,1138.36,1140.63,1138.305
897,1137.01,1139.39,1139.10333333333
898,1135.27,1138.29,1139.53166666667
899,1137.52,1137.80,1140.1575
900,1139.46,1137.87,1140.33
901,1141.2,1138.14,1140.16
902,1139.48,1138.32333333333,1139.48
903,1135.94,1138.145,1138.77
904,1131.14,1137.45666666667,1137.87
905,1128.26,1135.91333333333,1136.86
906,1126.42,1133.74,1135.81
907,1126.54,1131.30,1134.72
908,1125.36,1128.94,1133.63333333333
909,1126.13,1127.31,1132.72666666667
910,1126.63,1126.56,1132.00666666667
911,1128.12,1126.53,1131.22333333333
912,1129.55,1127.06,1130.3975
913,1129.35,1127.52,1129.41
914,1125.79,1127.60,1128.27
915,1120.69,1126.69,1127.00
916,1115.89,1124.90,1125.73
917,1113.5,1122.46,1124.50
918,1111.58,1119.46666666667,1123.26
919,1111.84,1116.54833333333,1122.04
920,1111.06,1114.09333333333,1120.84
921,1110.95,1112.47,1119.58
922,1111.22,1111.69166666667,1118.30
923,1114.81,1111.91,1117.19
924,1116.46,1112.72,1116.095
925,1116.93,1113.57,1115.06
926,1115.65,1114.34,1114.215
927,1110.61,1114.28,1113.375
928,1107.05,1113.59,1112.63833333333
929,1104.98,1111.95,1111.93
930,1104.42,1109.94,1111.33
931,1105.13,1107.97,1110.77
932,1105.76,1106.33,1110.33
933,1107.94,1105.88,1110.08
934,1107.33,1105.93,1109.76
935,1110.97,1106.93,1109.44
936,1111.78,1108.15,1109.05
937,1111.43,1109.20,1108.59
938,1107.4,1109.48,1107.90
939,1101.26,1108.36166666667,1107.12
940,1096.92,1106.62666666667,1106.28
941,1095.26,1104.00833333333,1105.47
942,1094.2,1101.07833333333,1104.62
943,1093.73,1098.12833333333,1103.67
944,1093.68,1095.84166666667,1102.66
945,1093.26,1094.50833333333,1101.435
946,1093.52,1093.94166666667,1100.28416666667
947,1096.3,1094.115,1099.06166666667
948,1100.02,1095.085,1098.08166666667
949,1103.21,1096.665,1097.39666666667
950,1100.66,1097.82833333333,1096.835
951,1098,1098.61833333333,1096.56333333333
952,1094.3,1098.74833333333,1096.345
953,1089.3,1097.58166666667,1095.84833333333
954,1086.97,1095.40666666667,1095.24583333333
955,1086.91,1092.69,1094.6775
956,1083.81,1089.88166666667,1093.855
957,1082.36,1087.275,1092.94666666667
958,1081.94,1085.215,1091.98166666667
959,1086.3,1084.72,1091.14833333333
960,1091.73,1085.50833333333,1090.4575
961,1095.78,1086.98666666667,1089.83833333333
962,1096.39,1089.08333333333,1089.4825
963,1095.76,1091.31666666667,1089.29583333333
964,1097.9,1093.97666666667,1089.59583333333
965,1102.38,1096.65666666667,1090.69
966,1107.07,1099.21333333333,1092.36083333333
967,1113.45,1102.15833333333,1094.5725
968,1116.04,1105.43333333333,1097.25833333333
969,1121,1109.64,1100.47833333333
970,1125.82,1114.29333333333,1104.135
971,1132.83,1119.36833333333,1108.0125
972,1134.18,1123.88666666667,1111.55
973,1133.06,1127.155,1114.65666666667
974,1129.41,1129.38333333333,1117.40833333333
975,1123.93,1129.87,1119.75583333333
976,1119.38,1128.80,1121.54583333333
977,1115.84,1125.97,1122.6675
978,1115.92,1122.92,1123.405
979,1116.56,1120.17,1123.66416666667
980,1115.16,1117.80,1123.59083333333
981,1116.5,1116.56,1123.22
982,1117.24,1116.20333333333,1122.50
983,1120.36,1116.95666666667,1121.46
984,1122.32,1118.02333333333,1120.47
985,1122.14,1118.95333333333,1119.56
986,1118.59,1119.525,1118.66
987,1112.91,1118.93,1117.74
988,1108.36,1117.45,1116.825
989,1105.98,1115.05,1116.00333333333
990,1105.92,1112.32,1115.17
991,1106.13,1109.65,1114.30083333333
992,1106.92,1107.70,1113.61416666667
993,1104.04,1106.23,1112.58
994,1106.36,1105.89,1111.67
995,1106.73,1106.02,1110.53
996,1108.75,1106.49,1109.40
997,1107.94,1106.79,1108.22
998,1101.71,1105.92,1106.81
999,1094.55,1104.34,1105.28
1000,1087.46,1101.19,1103.54
1001,1082.66,1097.18,1101.60
1002,1080.6,1092.49,1099.49
1003,1081.55,1088.08833333333,1097.44
1004,1081.33,1084.69166666667,1095.31
1005,1082.79,1082.73166666667,1093.54
1006,1083.57,1082.08333333333,1091.64
1007,1087.79,1082.93833333333,1090.06
1008,1088.51,1084.26,1088.37
1009,1088.98,1085.50,1086.79166666667
1010,1084.87,1086.09,1085.38833333333
1011,1079.03,1085.46,1084.095
1012,1076.57,1084.29,1083.1875
1013,1075.08,1082.17,1082.55583333333
1014,1078.15,1080.45,1082.35
1015,1078.31,1078.67,1082.08
1016,1078.1,1077.54,1081.81
1017,1078.99,1077.53333333333,1081.50
1018,1078.23,1077.81,1081.05
1019,1080.91,1078.78166666667,1080.48
1020,1083.68,1079.70333333333,1080.08
1021,1084.17,1080.68,1079.67
1022,1080.45,1081.07,1079.31
1023,1076.13,1080.60,1079.06416666667
1024,1073.8,1079.86,1078.83333333333
